Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,Condition,VP,Thresholdf
1,0,-0.09,j,0,1,1,101,0.09
2,0,-0.09,j,0,1,1,101,0.09
3,180,0.09,f,1,1,1,101,0.09
4,0,-0.09,j,0,1,1,101,0.09
5,180,0.09,f,1,1,1,101,0.09
6,180,0.09,f,1,1,1,101,0.09
7,180,0.09,j,0,0,1,101,0.09
8,180,0.09,j,0,0,1,101,0.09
9,0,-0.09,j,0,1,1,101,0.09
10,180,0.09,j,0,0,1,101,0.09
11,180,0.09,f,1,1,1,101,0.09
12,0,-0.09,f,1,0,1,101,0.09
13,0,-0.09,f,1,0,1,101,0.09
14,180,0.09,j,0,0,1,101,0.09
15,180,0.09,j,0,0,1,101,0.09
16,0,-0.09,j,0,1,1,101,0.09
17,180,0.09,f,1,1,1,101,0.09
18,180,0.09,j,0,0,1,101,0.09
19,0,-0.09,j,0,1,1,101,0.09
20,180,0.09,f,1,1,1,101,0.09
