Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,stairCase
1,0,-0.95,j,0,1,high
2,0,-0.05,f,1,0,low
3,180,0.10,f,1,1,low
4,180,0.90,f,1,1,high
5,180,0.85,f,1,1,high
6,0,-0.05,j,0,1,low
7,180,0.80,f,1,1,high
8,0,-0.05,j,0,1,low
9,180,0.75,f,1,1,high
10,0,-0.01,f,1,0,low
11,180,0.05,f,1,1,low
12,0,-0.70,j,0,1,high
13,0,-0.65,j,0,1,high
14,0,-0.05,f,1,0,low
15,0,-0.09,f,1,0,low
16,180,0.60,f,1,1,high
17,180,0.55,f,1,1,high
18,0,-0.13,j,0,1,low
19,180,0.13,f,1,1,low
20,180,0.50,f,1,1,high
21,180,0.45,f,1,1,high
22,0,-0.09,j,0,1,low
23,0,-0.09,j,0,1,low
24,180,0.40,f,1,1,high
25,0,-0.05,j,0,1,low
26,0,-0.35,j,0,1,high
27,180,0.05,f,1,1,low
28,0,-0.30,j,0,1,high
29,180,0.25,f,1,1,high
30,0,-0.01,j,0,1,low
31,0,-0.20,j,0,1,high
32,180,0.01,f,1,1,low
33,180,0.15,f,1,1,high
34,0,-0.01,f,1,0,low
35,180,0.10,j,0,0,high
36,0,-0.04,j,0,1,low
37,0,-0.15,j,0,1,high
38,0,-0.04,f,1,0,low
39,180,0.07,f,1,1,low
40,180,0.15,f,1,1,high
41,0,-0.07,j,0,1,low
42,180,0.11,f,1,1,high
43,180,0.11,f,1,1,high
44,0,-0.04,f,1,0,low
45,180,0.07,j,0,0,high
46,180,0.06,f,1,1,low
47,0,-0.06,j,0,1,low
48,180,0.11,f,1,1,high
49,180,0.04,j,0,0,low
50,180,0.11,f,1,1,high
51,0,-0.05,f,1,0,low
52,180,0.08,f,1,1,high
53,0,-0.06,j,0,1,low
54,180,0.08,f,1,1,high
55,0,-0.05,j,0,1,high
56,180,0.06,j,0,0,low
57,180,0.07,f,1,1,low
58,0,-0.05,j,0,1,high
59,0,-0.07,j,0,1,low
60,180,0.02,f,1,1,high
61,0,-0.02,f,1,0,high
62,180,0.06,f,1,1,low
63,0,-0.06,j,0,1,low
64,180,0.05,f,1,1,high
65,180,0.05,f,1,1,high
66,180,0.05,f,1,1,low
67,0,-0.05,j,0,1,low
68,0,-0.03,f,1,0,high
69,0,-0.05,j,0,1,high
70,180,0.04,f,1,1,low
71,180,0.04,j,0,0,low
72,180,0.05,f,1,1,high
73,0,-0.05,j,0,1,low
74,0,-0.04,f,1,0,high
75,180,0.05,f,1,1,high
76,0,-0.05,j,0,1,low
77,180,0.05,f,1,1,high
78,0,-0.04,j,0,1,low
79,180,0.04,f,1,1,low
80,180,0.04,f,1,1,high
81,0,-0.03,j,0,1,low
82,180,0.04,f,1,1,high
83,180,0.03,f,1,1,low
84,0,-0.03,j,0,1,high
85,180,0.03,f,1,1,high
86,0,-0.02,f,1,0,low
87,180,0.02,j,0,0,high
88,180,0.03,f,1,1,low
89,180,0.03,f,1,1,high
90,180,0.03,f,1,1,low
91,0,-0.02,j,0,1,low
92,180,0.03,f,1,1,high
93,0,-0.02,f,1,0,low
94,180,0.02,f,1,1,high
95,180,0.02,f,1,1,high
96,180,0.03,j,0,0,low
97,180,0.01,f,1,1,high
98,180,0.04,f,1,1,low
99,180,0.04,j,0,0,low
100,180,0.01,j,0,0,high
101,180,0.02,f,1,1,high
102,0,-0.05,j,0,1,low
103,0,-0.02,f,1,0,high
104,0,-0.05,f,1,0,low
