trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
0,0,0,0,left,0.496495793457,2018_Jun_06_1000,59.993920607,answertest,001,,
1,0,1,0,right,0.365486508934,2018_Jun_06_1000,59.993920607,answertest,001,,
2,0,2,0,left,0.528255396173,2018_Jun_06_1000,59.993920607,answertest,001,,
3,0,3,0,right,0.476687785296,2018_Jun_06_1000,59.993920607,answertest,001,,
4,0,4,0,left,0.500796513166,2018_Jun_06_1000,59.993920607,answertest,001,,
