Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,stairCase
1,180,0.95,f,1,1,high
2,180,0.05,f,1,1,low
3,0,-0.90,j,0,1,high
4,0,-0.01,j,0,1,low
5,180,0.01,f,1,1,low
6,180,0.85,f,1,1,high
7,0,-0.80,j,0,1,high
8,180,0.01,j,0,0,low
9,0,-0.06,f,1,0,low
10,0,-0.75,j,0,1,high
11,0,-0.70,j,0,1,high
12,0,-0.11,j,0,1,low
13,0,-0.65,j,0,1,high
14,0,-0.11,f,1,0,low
15,0,-0.60,j,0,1,high
16,0,-0.16,j,0,1,low
17,180,0.16,f,1,1,low
18,0,-0.55,j,0,1,high
19,0,-0.50,j,0,1,high
20,180,0.12,f,1,1,low
21,0,-0.12,j,0,1,low
22,0,-0.45,j,0,1,high
23,0,-0.08,f,1,0,low
24,180,0.40,f,1,1,high
25,180,0.12,f,1,1,low
26,180,0.35,f,1,1,high
27,0,-0.12,j,0,1,low
28,180,0.30,f,1,1,high
29,0,-0.09,j,0,1,low
30,180,0.25,f,1,1,high
31,0,-0.20,j,0,1,high
32,0,-0.09,j,0,1,low
33,0,-0.06,f,1,0,low
34,180,0.15,f,1,1,high
35,0,-0.10,j,0,1,high
36,0,-0.09,j,0,1,low
37,0,-0.05,f,1,0,high
38,0,-0.09,f,1,0,low
39,180,0.12,f,1,1,low
40,180,0.10,j,0,0,high
41,0,-0.15,j,0,1,high
42,180,0.12,f,1,1,low
43,0,-0.15,j,0,1,high
44,180,0.10,f,1,1,low
45,180,0.10,f,1,1,low
46,180,0.11,f,1,1,high
47,0,-0.11,j,0,1,high
48,180,0.08,j,0,0,low
49,180,0.10,f,1,1,low
50,0,-0.07,j,0,1,high
51,0,-0.10,j,0,1,low
52,180,0.07,f,1,1,high
53,180,0.09,j,0,0,low
54,180,0.03,j,0,0,high
55,180,0.10,j,0,0,low
56,180,0.07,f,1,1,high
57,0,-0.11,j,0,1,low
58,180,0.07,f,1,1,high
