Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,ReactionTime,Condition,VP,Threshold
192,180,0.12,j,0,0,0.48,1.00,giamac,0.25
193,0,-0.12,j,0,1,0.52,1.00,giamac,0.25
194,0,-0.12,f,1,0,0.48,1.00,giamac,0.25
195,0,-0.12,j,0,1,0.47,1.00,giamac,0.25
196,180,0.12,j,0,0,0.45,1.00,giamac,0.25
197,180,0.12,j,0,0,0.47,1.00,giamac,0.25
198,0,-0.12,j,0,1,0.38,1.00,giamac,0.25
199,0,-0.12,j,0,1,0.55,1.00,giamac,0.25
200,180,0.12,f,1,1,0.67,1.00,giamac,0.25
201,0,-0.50,j,0,1,0.56,1.00,giamac,0.25
202,0,-0.50,j,0,1,0.68,1.00,giamac,0.25
203,180,0.50,f,1,1,0.55,1.00,giamac,0.25
204,180,0.50,f,1,1,0.68,1.00,giamac,0.25
205,0,-0.50,j,0,1,0.50,1.00,giamac,0.25
206,180,0.50,f,1,1,0.37,1.00,giamac,0.25
207,180,0.50,f,1,1,0.48,1.00,giamac,0.25
208,180,0.50,f,1,1,0.43,1.00,giamac,0.25
209,180,0.50,j,0,0,0.33,1.00,giamac,0.25
210,0,-0.50,j,0,1,0.40,1.00,giamac,0.25
211,0,-0.50,j,0,1,0.47,1.00,giamac,0.25
212,180,0.50,f,1,1,0.40,1.00,giamac,0.25
213,0,-0.50,j,0,1,0.38,1.00,giamac,0.25
214,0,-0.50,j,0,1,0.53,1.00,giamac,0.25
215,180,0.50,f,1,1,0.43,1.00,giamac,0.25
216,180,0.50,f,1,1,0.52,1.00,giamac,0.25
217,180,0.50,f,1,1,0.50,1.00,giamac,0.25
218,180,0.50,j,0,0,0.38,1.00,giamac,0.25
219,180,0.50,f,1,1,0.43,1.00,giamac,0.25
220,0,-0.50,j,0,1,0.45,1.00,giamac,0.25
221,0,-0.50,j,0,1,0.47,1.00,giamac,0.25
222,180,0.50,f,1,1,0.47,1.00,giamac,0.25
223,180,0.50,f,1,1,0.63,1.00,giamac,0.25
224,180,0.50,f,1,1,0.62,1.00,giamac,0.25
225,0,-0.50,j,0,1,0.45,1.00,giamac,0.25
226,180,0.50,f,1,1,0.47,1.00,giamac,0.25
227,0,-0.50,j,0,1,0.50,1.00,giamac,0.25
228,0,-0.50,j,0,1,0.52,1.00,giamac,0.25
229,180,0.50,f,1,1,0.37,1.00,giamac,0.25
230,0,-0.50,j,0,1,0.63,1.00,giamac,0.25
231,0,-0.50,j,0,1,0.52,1.00,giamac,0.25
232,0,-0.50,j,0,1,0.55,1.00,giamac,0.25
233,0,-0.50,j,0,1,0.44,1.00,giamac,0.25
234,0,-0.50,j,0,1,0.38,1.00,giamac,0.25
235,0,-0.50,j,0,1,0.45,1.00,giamac,0.25
236,0,-0.50,j,0,1,0.47,1.00,giamac,0.25
237,0,-0.50,j,0,1,0.43,1.00,giamac,0.25
238,0,-0.50,j,0,1,0.43,1.00,giamac,0.25
239,0,-0.50,j,0,1,0.72,1.00,giamac,0.25
240,0,-0.50,f,1,0,0.45,1.00,giamac,0.25
241,180,0.50,f,1,1,0.52,1.00,giamac,0.25
242,180,0.50,f,1,1,0.60,1.00,giamac,0.25
243,180,0.50,f,1,1,0.43,1.00,giamac,0.25
244,0,-0.50,j,0,1,0.47,1.00,giamac,0.25
245,180,0.50,f,1,1,0.45,1.00,giamac,0.25
246,0,-0.50,j,0,1,0.42,1.00,giamac,0.25
247,180,0.50,f,1,1,0.43,1.00,giamac,0.25
248,180,0.50,f,1,1,0.45,1.00,giamac,0.25
249,0,-0.50,j,0,1,0.52,1.00,giamac,0.25
250,180,0.50,f,1,1,0.37,1.00,giamac,0.25
251,0,-0.50,j,0,1,0.32,1.00,giamac,0.25
252,180,0.50,f,1,1,0.35,1.00,giamac,0.25
253,0,-0.50,f,1,0,0.37,1.00,giamac,0.25
254,180,0.50,f,1,1,0.42,1.00,giamac,0.25
255,0,-0.50,j,0,1,0.42,1.00,giamac,0.25
256,180,0.50,f,1,1,0.43,1.00,giamac,0.25
257,180,0.50,j,0,0,0.37,1.00,giamac,0.25
258,0,-0.50,j,0,1,0.40,1.00,giamac,0.25
259,180,0.50,f,1,1,0.42,1.00,giamac,0.25
260,0,-0.50,j,0,1,0.47,1.00,giamac,0.25
261,180,0.50,f,1,1,0.47,1.00,giamac,0.25
262,180,0.50,f,1,1,0.60,1.00,giamac,0.25
263,180,0.50,f,1,1,0.45,1.00,giamac,0.25
264,0,-0.50,j,0,1,0.43,1.00,giamac,0.25
265,0,-0.50,j,0,1,0.40,1.00,giamac,0.25
266,180,0.50,f,1,1,0.37,1.00,giamac,0.25
267,0,-0.50,j,0,1,0.53,1.00,giamac,0.25
268,180,0.50,f,1,1,0.58,1.00,giamac,0.25
269,0,-0.50,j,0,1,0.40,1.00,giamac,0.25
270,0,-0.50,j,0,1,0.47,1.00,giamac,0.25
271,180,0.50,f,1,1,0.50,1.00,giamac,0.25
272,180,0.50,f,1,1,0.50,1.00,giamac,0.25
273,180,0.50,f,1,1,0.53,1.00,giamac,0.25
274,180,0.50,f,1,1,0.53,1.00,giamac,0.25
275,0,-0.50,j,0,1,0.52,1.00,giamac,0.25
276,0,-0.50,j,0,1,0.47,1.00,giamac,0.25
277,0,-0.50,f,1,0,0.52,1.00,giamac,0.25
278,180,0.50,f,1,1,0.47,1.00,giamac,0.25
279,0,-0.50,j,0,1,0.38,1.00,giamac,0.25
280,180,0.50,f,1,1,0.38,1.00,giamac,0.25
281,0,-0.50,j,0,1,0.43,1.00,giamac,0.25
282,0,-0.50,j,0,1,0.52,1.00,giamac,0.25
283,0,-0.50,j,0,1,0.42,1.00,giamac,0.25
284,180,0.50,f,1,1,0.47,1.00,giamac,0.25
285,0,-0.50,f,1,0,0.42,1.00,giamac,0.25
286,0,-0.50,j,0,1,0.42,1.00,giamac,0.25
287,180,0.50,f,1,1,0.47,1.00,giamac,0.25
288,0,-0.50,j,0,1,0.50,1.00,giamac,0.25
289,180,0.50,f,1,1,0.40,1.00,giamac,0.25
290,180,0.50,f,1,1,0.47,1.00,giamac,0.25
291,0,-0.50,j,0,1,0.40,1.00,giamac,0.25
292,180,0.50,f,1,1,0.42,1.00,giamac,0.25
293,180,0.50,f,1,1,0.45,1.00,giamac,0.25
294,180,0.50,f,1,1,0.47,1.00,giamac,0.25
295,0,-0.50,j,0,1,0.47,1.00,giamac,0.25
296,0,-0.50,j,0,1,0.45,1.00,giamac,0.25
297,180,0.50,f,1,1,0.45,1.00,giamac,0.25
298,180,0.50,f,1,1,0.52,1.00,giamac,0.25
299,180,0.50,f,1,1,0.45,1.00,giamac,0.25
300,0,-0.50,j,0,1,0.45,1.00,giamac,0.25
