trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
0,0,0,0,None,,2018_Jun_05_2040,60.0478658745,untitled.py,001,,
1,0,1,0,j,0.85075234907,2018_Jun_05_2040,60.0478658745,untitled.py,001,,
2,0,2,0,f,0.766445852933,2018_Jun_05_2040,60.0478658745,untitled.py,001,,
3,0,3,0,j,0.267016314669,2018_Jun_05_2040,60.0478658745,untitled.py,001,,
4,0,4,0,f,0.150988369656,2018_Jun_05_2040,60.0478658745,untitled.py,001,,
