Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,Condition,VP,Thresholdf
1,180,0.15,j,0,0,1,101,0.15
2,0,-0.15,j,0,1,1,101,0.15
3,180,0.15,f,1,1,1,101,0.15
4,0,-0.15,f,1,0,1,101,0.15
5,180,0.15,j,0,0,1,101,0.15
6,180,0.15,j,0,0,1,101,0.15
