Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,stairCase
1,0,0.95,j,0,1,high
2,0,0.05,f,1,0,low
3,180,0.90,f,1,1,high
4,0,0.10,j,0,1,low
5,0,0.85,j,0,1,high
6,180,0.05,j,0,0,low
7,180,0.09,j,0,0,low
8,180,0.80,f,1,1,high
9,180,0.13,j,0,0,low
10,180,0.75,f,1,1,high
11,180,0.70,f,1,1,high
12,180,0.17,j,0,0,low
13,0,0.65,j,0,1,high
14,0,0.21,f,1,0,low
15,0,0.60,j,0,1,high
16,180,0.25,f,1,1,low
17,0,0.55,j,0,1,high
18,180,0.25,f,1,1,low
19,0,0.21,j,0,1,low
20,180,0.50,f,1,1,high
21,0,0.21,j,0,1,low
22,0,0.45,j,0,1,high
23,0,0.17,j,0,1,low
24,0,0.40,j,0,1,high
25,180,0.35,f,1,1,high
26,180,0.17,f,1,1,low
27,0,0.13,j,0,1,low
28,180,0.30,j,0,0,high
29,0,0.13,j,0,1,low
30,180,0.35,f,1,1,high
31,180,0.35,j,0,0,high
32,0,0.09,j,0,1,low
33,180,0.40,j,0,0,high
34,0,0.09,j,0,1,low
35,0,0.45,j,0,1,high
36,0,0.05,j,0,1,low
37,0,0.45,j,0,1,high
38,180,0.05,f,1,1,low
39,180,0.41,f,1,1,high
40,0,0.01,j,0,1,low
41,180,0.41,f,1,1,high
42,180,0.01,j,0,0,low
43,180,0.04,j,0,0,low
44,180,0.37,f,1,1,high
45,0,0.07,j,0,1,low
46,0,0.37,f,1,0,high
47,180,0.07,f,1,1,low
48,180,0.41,j,0,0,high
49,0,0.45,j,0,1,high
50,0,0.04,f,1,0,low
51,180,0.06,j,0,0,low
52,0,0.45,j,0,1,high
53,180,0.42,j,0,0,high
54,180,0.08,j,0,0,low
55,180,0.45,f,1,1,high
56,0,0.10,j,0,1,low
57,0,0.10,j,0,1,low
58,180,0.45,j,0,0,high
59,0,0.48,j,0,1,high
60,180,0.08,j,0,0,low
61,180,0.48,f,1,1,high
62,180,0.09,f,1,1,low
63,0,0.09,j,0,1,low
64,180,0.46,f,1,1,high
65,180,0.46,f,1,1,high
66,0,0.08,j,0,1,low
67,0,0.08,j,0,1,low
68,0,0.44,j,0,1,high
69,180,0.44,f,1,1,high
70,180,0.07,j,0,0,low
71,0,0.08,j,0,1,low
72,0,0.42,j,0,1,high
73,180,0.08,f,1,1,low
74,0,0.42,f,1,0,high
75,180,0.44,f,1,1,high
76,180,0.07,j,0,0,low
77,180,0.44,f,1,1,high
78,180,0.08,j,0,0,low
79,180,0.09,f,1,1,low
80,0,0.43,j,0,1,high
81,180,0.09,f,1,1,low
82,180,0.43,j,0,0,high
83,0,0.44,j,0,1,high
84,180,0.08,f,1,1,low
85,180,0.08,f,1,1,low
86,0,0.44,j,0,1,high
87,0,0.43,j,0,1,high
88,180,0.07,f,1,1,low
89,180,0.07,j,0,0,low
90,180,0.43,j,0,0,high
91,180,0.08,j,0,0,low
92,0,0.44,j,0,1,high
93,0,0.09,f,1,0,low
94,0,0.44,j,0,1,high
95,180,0.10,j,0,0,low
96,180,0.43,f,1,1,high
97,180,0.43,j,0,0,high
98,0,0.11,f,1,0,low
99,180,0.12,j,0,0,low
100,180,0.44,j,0,0,high
101,0,0.45,j,0,1,high
102,0,0.13,j,0,1,low
103,180,0.13,f,1,1,low
104,180,0.45,j,0,0,high
105,180,0.46,j,0,0,high
106,0,0.12,j,0,1,low
107,180,0.12,f,1,1,low
