Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,Condition,VP,Thresholdf
1,180,0.20,j,0,0,1,101,0.20
2,180,0.20,j,0,0,1,101,0.20
3,0,-0.20,f,1,0,1,101,0.20
4,0,-0.20,j,0,1,1,101,0.20
5,180,0.20,j,0,0,1,101,0.20
6,0,-0.20,j,0,1,1,101,0.20
7,180,0.20,f,1,1,1,101,0.20
