Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,ReactionTime,Condition,VP,Threshold
147,180,0.09,f,1,1,0.60,2.00,101,0.09
148,0,-0.09,j,0,1,0.68,2.00,101,0.09
149,180,0.09,f,1,1,0.51,2.00,101,0.09
150,180,0.09,f,1,1,0.48,2.00,101,0.09
151,0,-0.09,j,0,1,0.50,2.00,101,0.09
152,0,-0.09,j,0,1,0.60,2.00,101,0.09
153,180,0.09,f,1,1,0.52,2.00,101,0.09
154,180,0.09,j,0,0,0.70,2.00,101,0.09
155,180,0.09,j,0,0,0.58,2.00,101,0.09
156,0,-0.09,f,1,0,0.75,2.00,101,0.09
157,0,-0.09,j,0,1,0.50,2.00,101,0.09
158,0,-0.09,f,1,0,0.53,2.00,101,0.09
159,0,-0.09,j,0,1,0.67,2.00,101,0.09
160,180,0.09,f,1,1,0.48,2.00,101,0.09
161,0,-0.09,f,1,0,0.50,2.00,101,0.09
162,180,0.09,f,1,1,0.63,2.00,101,0.09
163,0,-0.09,j,0,1,0.67,2.00,101,0.09
164,180,0.09,f,1,1,0.67,2.00,101,0.09
165,0,-0.09,j,0,1,0.60,2.00,101,0.09
166,180,0.09,j,0,0,0.56,2.00,101,0.09
167,180,0.09,f,1,1,0.45,2.00,101,0.09
168,0,-0.09,j,0,1,0.53,2.00,101,0.09
169,0,-0.09,f,1,0,0.48,2.00,101,0.09
170,0,-0.09,j,0,1,0.45,2.00,101,0.09
171,180,0.09,j,0,0,0.48,2.00,101,0.09
172,0,-0.09,j,0,1,0.65,2.00,101,0.09
173,180,0.09,f,1,1,0.52,2.00,101,0.09
174,180,0.09,j,0,0,0.68,2.00,101,0.09
175,0,-0.09,f,1,0,0.70,2.00,101,0.09
176,180,0.09,f,1,1,0.48,2.00,101,0.09
177,180,0.09,j,0,0,0.51,2.00,101,0.09
178,0,-0.09,j,0,1,0.52,2.00,101,0.09
179,180,0.09,f,1,1,0.48,2.00,101,0.09
180,0,-0.09,j,0,1,0.63,2.00,101,0.09
181,180,0.09,f,1,1,0.53,2.00,101,0.09
182,0,-0.09,j,0,1,0.50,2.00,101,0.09
183,0,-0.09,j,0,1,0.56,2.00,101,0.09
184,180,0.09,f,1,1,0.47,2.00,101,0.09
185,180,0.09,f,1,1,0.46,2.00,101,0.09
186,180,0.09,f,1,1,0.50,2.00,101,0.09
187,180,0.09,f,1,1,0.52,2.00,101,0.09
188,0,-0.09,j,0,1,0.53,2.00,101,0.09
189,180,0.09,f,1,1,0.70,2.00,101,0.09
190,0,-0.09,j,0,1,0.47,2.00,101,0.09
191,180,0.09,f,1,1,0.51,2.00,101,0.09
192,180,0.09,f,1,1,0.58,2.00,101,0.09
193,0,-0.09,f,1,0,0.43,2.00,101,0.09
194,180,0.09,f,1,1,0.51,2.00,101,0.09
195,180,0.09,f,1,1,0.43,2.00,101,0.09
196,0,-0.09,f,1,0,0.46,2.00,101,0.09
197,180,0.09,f,1,1,0.51,2.00,101,0.09
198,0,-0.09,j,0,1,0.48,2.00,101,0.09
199,0,-0.09,f,1,0,0.40,2.00,101,0.09
200,180,0.09,f,1,1,0.55,2.00,101,0.09
201,0,-0.04,j,0,1,0.58,2.00,101,0.09
202,0,-0.04,j,0,1,0.51,2.00,101,0.09
203,0,-0.04,f,1,0,0.45,2.00,101,0.09
204,180,0.04,j,0,0,0.40,2.00,101,0.09
205,0,-0.04,f,1,0,0.63,2.00,101,0.09
206,0,-0.04,f,1,0,0.60,2.00,101,0.09
207,0,-0.04,j,0,1,0.50,2.00,101,0.09
208,180,0.04,j,0,0,0.50,2.00,101,0.09
209,180,0.04,f,1,1,0.51,2.00,101,0.09
210,0,-0.04,j,0,1,0.57,2.00,101,0.09
211,0,-0.04,f,1,0,0.56,2.00,101,0.09
212,180,0.04,f,1,1,1.05,2.00,101,0.09
213,180,0.04,j,0,0,0.71,2.00,101,0.09
214,0,-0.04,f,1,0,0.67,2.00,101,0.09
215,180,0.04,f,1,1,0.58,2.00,101,0.09
216,0,-0.04,j,0,1,0.50,2.00,101,0.09
217,180,0.04,f,1,1,0.62,2.00,101,0.09
218,0,-0.04,j,0,1,0.73,2.00,101,0.09
219,180,0.04,f,1,1,0.57,2.00,101,0.09
220,180,0.04,f,1,1,0.67,2.00,101,0.09
221,0,-0.04,j,0,1,0.65,2.00,101,0.09
222,180,0.04,f,1,1,0.67,2.00,101,0.09
223,180,0.04,f,1,1,0.85,2.00,101,0.09
224,0,-0.04,j,0,1,0.80,2.00,101,0.09
225,0,-0.04,j,0,1,1.02,2.00,101,0.09
226,180,0.04,j,0,0,0.70,2.00,101,0.09
227,180,0.04,f,1,1,0.60,2.00,101,0.09
228,180,0.04,f,1,1,1.02,2.00,101,0.09
229,180,0.04,f,1,1,0.61,2.00,101,0.09
230,0,-0.04,j,0,1,0.53,2.00,101,0.09
231,180,0.04,f,1,1,0.58,2.00,101,0.09
232,0,-0.04,j,0,1,0.83,2.00,101,0.09
233,180,0.04,f,1,1,0.98,2.00,101,0.09
234,0,-0.04,j,0,1,0.70,2.00,101,0.09
235,0,-0.04,j,0,1,0.73,2.00,101,0.09
236,0,-0.04,f,1,0,0.57,2.00,101,0.09
237,0,-0.04,j,0,1,0.63,2.00,101,0.09
238,180,0.04,f,1,1,0.88,2.00,101,0.09
239,0,-0.04,j,0,1,0.68,2.00,101,0.09
240,0,-0.04,j,0,1,0.65,2.00,101,0.09
241,0,-0.04,f,1,0,0.71,2.00,101,0.09
242,0,-0.04,j,0,1,0.68,2.00,101,0.09
243,180,0.04,f,1,1,0.60,2.00,101,0.09
244,180,0.04,f,1,1,0.62,2.00,101,0.09
245,0,-0.04,j,0,1,0.60,2.00,101,0.09
246,180,0.04,f,1,1,0.60,2.00,101,0.09
247,180,0.04,j,0,0,0.58,2.00,101,0.09
248,180,0.04,f,1,1,0.70,2.00,101,0.09
249,180,0.04,j,0,0,0.77,2.00,101,0.09
250,180,0.04,j,0,0,0.75,2.00,101,0.09
251,0,-0.04,j,0,1,0.52,2.00,101,0.09
252,0,-0.04,j,0,1,0.58,2.00,101,0.09
253,180,0.04,j,0,0,0.46,2.00,101,0.09
254,180,0.04,j,0,0,0.46,2.00,101,0.09
255,180,0.04,j,0,0,0.44,2.00,101,0.09
256,180,0.04,f,1,1,0.40,2.00,101,0.09
257,0,-0.04,f,1,0,0.50,2.00,101,0.09
258,0,-0.04,j,0,1,0.45,2.00,101,0.09
259,180,0.04,j,0,0,0.38,2.00,101,0.09
260,0,-0.04,j,0,1,0.61,2.00,101,0.09
261,0,-0.04,f,1,0,0.45,2.00,101,0.09
262,0,-0.04,j,0,1,0.51,2.00,101,0.09
263,180,0.04,j,0,0,0.72,2.00,101,0.09
264,180,0.04,f,1,1,0.75,2.00,101,0.09
265,0,-0.04,f,1,0,0.48,2.00,101,0.09
266,180,0.04,j,0,0,0.47,2.00,101,0.09
267,180,0.04,f,1,1,0.73,2.00,101,0.09
268,0,-0.04,j,0,1,0.65,2.00,101,0.09
269,180,0.04,f,1,1,0.95,2.00,101,0.09
270,0,-0.04,j,0,1,0.68,2.00,101,0.09
271,0,-0.04,j,0,1,0.58,2.00,101,0.09
272,0,-0.04,j,0,1,0.50,2.00,101,0.09
273,0,-0.04,j,0,1,0.70,2.00,101,0.09
274,180,0.04,f,1,1,0.62,2.00,101,0.09
275,180,0.04,f,1,1,0.51,2.00,101,0.09
276,180,0.04,f,1,1,0.40,2.00,101,0.09
277,0,-0.04,f,1,0,0.45,2.00,101,0.09
278,180,0.04,j,0,0,0.45,2.00,101,0.09
279,180,0.04,f,1,1,0.76,2.00,101,0.09
280,180,0.04,f,1,1,0.36,2.00,101,0.09
281,180,0.04,f,1,1,0.43,2.00,101,0.09
282,180,0.04,f,1,1,0.48,2.00,101,0.09
283,0,-0.04,j,0,1,0.42,2.00,101,0.09
284,0,-0.04,j,0,1,0.48,2.00,101,0.09
285,0,-0.04,j,0,1,0.47,2.00,101,0.09
286,0,-0.04,j,0,1,0.56,2.00,101,0.09
287,180,0.04,j,0,0,0.35,2.00,101,0.09
288,180,0.04,j,0,0,0.43,2.00,101,0.09
289,180,0.04,j,0,0,0.41,2.00,101,0.09
290,0,-0.04,f,1,0,0.33,2.00,101,0.09
291,180,0.04,j,0,0,0.32,2.00,101,0.09
292,0,-0.04,j,0,1,0.35,2.00,101,0.09
293,180,0.04,j,0,0,0.33,2.00,101,0.09
294,180,0.04,j,0,0,0.37,2.00,101,0.09
295,0,-0.04,j,0,1,0.48,2.00,101,0.09
296,0,-0.04,f,1,0,0.48,2.00,101,0.09
297,180,0.04,f,1,1,0.72,2.00,101,0.09
298,0,-0.04,j,0,1,0.73,2.00,101,0.09
299,0,-0.04,f,1,0,0.95,2.00,101,0.09
300,0,-0.04,f,1,0,0.60,2.00,101,0.09
