Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,stairCase
1,0,0.05,j,0,1,low
2,0,0.95,j,0,1,high
3,180,0.90,f,1,1,high
4,0,0.01,j,0,1,low
5,0,0.85,j,0,1,high
6,0,0.01,f,1,0,low
7,180,0.80,f,1,1,high
8,0,0.06,j,0,1,low
9,0,0.06,f,1,0,low
10,180,0.75,f,1,1,high
11,180,0.11,f,1,1,low
12,0,0.70,j,0,1,high
13,180,0.11,f,1,1,low
14,0,0.65,j,0,1,high
15,0,0.07,f,1,0,low
16,180,0.60,f,1,1,high
17,0,0.55,j,0,1,high
18,0,0.11,j,0,1,low
19,0,0.50,j,0,1,high
20,180,0.11,f,1,1,low
21,180,0.45,f,1,1,high
22,180,0.08,f,1,1,low
23,0,0.40,j,0,1,high
24,180,0.08,f,1,1,low
25,0,0.35,j,0,1,high
26,0,0.05,f,1,0,low
27,0,0.30,j,0,1,high
28,180,0.08,f,1,1,low
29,0,0.08,j,0,1,low
30,180,0.25,f,1,1,high
31,180,0.20,f,1,1,high
32,180,0.06,j,0,0,low
33,0,0.08,j,0,1,low
34,0,0.15,j,0,1,high
35,180,0.10,f,1,1,high
36,180,0.08,f,1,1,low
37,0,0.05,j,0,1,high
38,180,0.07,f,1,1,low
39,0,0.07,j,0,1,low
40,180,0.01,f,1,1,high
41,180,0.01,j,0,0,high
42,0,0.06,j,0,1,low
43,180,0.06,j,0,0,low
44,0,0.06,j,0,1,high
45,180,0.06,f,1,1,high
46,0,0.07,j,0,1,low
47,180,0.02,f,1,1,high
48,180,0.07,j,0,0,low
49,180,0.08,j,0,0,low
50,180,0.02,j,0,0,high
51,0,0.09,j,0,1,low
52,0,0.06,f,1,0,high
53,0,0.09,f,1,0,low
54,180,0.10,f,1,1,high
55,0,0.10,j,0,1,low
56,0,0.10,j,0,1,high
57,0,0.10,j,0,1,low
58,180,0.07,f,1,1,high
59,0,0.09,j,0,1,low
60,0,0.07,j,0,1,high
61,180,0.04,j,0,0,high
62,0,0.09,f,1,0,low
63,180,0.07,f,1,1,high
64,0,0.10,j,0,1,low
65,0,0.10,f,1,0,low
66,180,0.07,f,1,1,high
67,180,0.11,f,1,1,low
68,0,0.05,j,0,1,high
69,180,0.11,f,1,1,low
70,0,0.05,f,1,0,high
71,180,0.10,f,1,1,low
72,180,0.07,f,1,1,high
73,0,0.10,j,0,1,low
74,0,0.07,f,1,0,high
75,0,0.09,j,0,1,high
76,0,0.09,f,1,0,low
77,0,0.09,f,1,0,high
78,180,0.10,f,1,1,low
79,0,0.11,j,0,1,high
80,0,0.10,f,1,0,low
81,180,0.11,f,1,1,low
82,180,0.11,f,1,1,high
83,0,0.10,j,0,1,high
84,0,0.11,j,0,1,low
85,180,0.10,f,1,1,high
86,0,0.10,j,0,1,low
87,0,0.09,j,0,1,high
88,180,0.10,f,1,1,low
89,180,0.09,f,1,1,low
90,0,0.09,j,0,1,high
91,180,0.08,f,1,1,high
92,180,0.09,f,1,1,low
93,180,0.08,f,1,1,high
94,0,0.08,j,0,1,low
95,180,0.08,f,1,1,low
96,0,0.07,j,0,1,high
97,180,0.07,f,1,1,low
98,0,0.07,f,1,0,high
99,0,0.08,j,0,1,high
100,0,0.07,j,0,1,low
