Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,Condition,VP,Thresholdf
1,0,-0.70,j,0,1,1,101,0.15
2,0,-0.70,f,1,0,1,101,0.15
3,180,0.70,j,0,0,1,101,0.15
4,0,-0.70,f,1,0,1,101,0.15
5,0,-0.70,j,0,1,1,101,0.15
6,180,0.70,j,0,0,1,101,0.15
7,0,-0.70,j,0,1,1,101,0.15
8,180,0.70,j,0,0,1,101,0.15
9,0,-0.70,j,0,1,1,101,0.15
10,0,-0.70,f,1,0,1,101,0.15
11,180,0.70,f,1,1,1,101,0.15
12,0,-0.70,f,1,0,1,101,0.15
