Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,ReactionTime,Condition,VP,Threshold
1,180,0.15,f,1,1,0.68,1.00,giamac,0.10
2,0,-0.15,j,0,1,0.65,1.00,giamac,0.10
3,0,-0.15,j,0,1,0.52,1.00,giamac,0.10
4,180,0.15,f,1,1,0.52,1.00,giamac,0.10
5,0,-0.15,j,0,1,0.41,1.00,giamac,0.10
6,0,-0.15,f,1,0,0.53,1.00,giamac,0.10
7,180,0.15,j,0,0,0.53,1.00,giamac,0.10
8,0,-0.15,j,0,1,0.50,1.00,giamac,0.10
9,0,-0.15,j,0,1,0.58,1.00,giamac,0.10
10,180,0.15,f,1,1,0.58,1.00,giamac,0.10
11,0,-0.15,j,0,1,0.48,1.00,giamac,0.10
12,0,-0.15,j,0,1,0.52,1.00,giamac,0.10
13,180,0.15,f,1,1,0.48,1.00,giamac,0.10
14,0,-0.15,j,0,1,0.55,1.00,giamac,0.10
15,180,0.15,f,1,1,0.63,1.00,giamac,0.10
16,180,0.15,f,1,1,0.43,1.00,giamac,0.10
17,180,0.15,f,1,1,0.42,1.00,giamac,0.10
18,0,-0.15,j,0,1,0.63,1.00,giamac,0.10
19,180,0.15,f,1,1,0.65,1.00,giamac,0.10
20,0,-0.15,j,0,1,0.43,1.00,giamac,0.10
21,0,-0.15,j,0,1,0.45,1.00,giamac,0.10
22,0,-0.15,j,0,1,0.45,1.00,giamac,0.10
23,180,0.15,f,1,1,0.62,1.00,giamac,0.10
24,180,0.15,f,1,1,0.52,1.00,giamac,0.10
25,0,-0.15,j,0,1,0.53,1.00,giamac,0.10
26,180,0.15,f,1,1,0.45,1.00,giamac,0.10
27,180,0.15,f,1,1,0.50,1.00,giamac,0.10
28,180,0.15,f,1,1,0.43,1.00,giamac,0.10
29,180,0.15,f,1,1,0.40,1.00,giamac,0.10
30,0,-0.15,j,0,1,0.43,1.00,giamac,0.10
31,0,-0.15,j,0,1,0.48,1.00,giamac,0.10
32,0,-0.15,j,0,1,0.53,1.00,giamac,0.10
33,0,-0.15,f,1,0,0.50,1.00,giamac,0.10
34,0,-0.15,f,1,0,0.62,1.00,giamac,0.10
35,180,0.15,f,1,1,0.55,1.00,giamac,0.10
36,0,-0.15,j,0,1,0.50,1.00,giamac,0.10
37,180,0.15,f,1,1,0.53,1.00,giamac,0.10
38,0,-0.15,j,0,1,0.56,1.00,giamac,0.10
39,0,-0.15,f,1,0,0.70,1.00,giamac,0.10
40,180,0.15,f,1,1,0.53,1.00,giamac,0.10
41,180,0.15,f,1,1,0.47,1.00,giamac,0.10
42,180,0.15,f,1,1,0.52,1.00,giamac,0.10
43,180,0.15,f,1,1,0.43,1.00,giamac,0.10
44,0,-0.15,j,0,1,0.48,1.00,giamac,0.10
45,180,0.15,f,1,1,0.65,1.00,giamac,0.10
46,180,0.15,f,1,1,0.65,1.00,giamac,0.10
47,180,0.15,f,1,1,0.60,1.00,giamac,0.10
48,0,-0.15,j,0,1,0.56,1.00,giamac,0.10
49,0,-0.15,j,0,1,0.52,1.00,giamac,0.10
50,0,-0.15,j,0,1,0.51,1.00,giamac,0.10
51,0,-0.15,f,1,0,0.48,1.00,giamac,0.10
52,0,-0.15,j,0,1,0.51,1.00,giamac,0.10
53,0,-0.15,j,0,1,0.52,1.00,giamac,0.10
54,0,-0.15,f,1,0,0.47,1.00,giamac,0.10
55,180,0.15,f,1,1,0.57,1.00,giamac,0.10
56,0,-0.15,j,0,1,0.52,1.00,giamac,0.10
57,180,0.15,f,1,1,0.57,1.00,giamac,0.10
58,180,0.15,f,1,1,0.73,1.00,giamac,0.10
59,180,0.15,f,1,1,0.50,1.00,giamac,0.10
60,0,-0.15,j,0,1,0.52,1.00,giamac,0.10
61,0,-0.15,j,0,1,0.52,1.00,giamac,0.10
62,180,0.15,f,1,1,0.51,1.00,giamac,0.10
63,0,-0.15,j,0,1,0.53,1.00,giamac,0.10
64,0,-0.15,j,0,1,0.53,1.00,giamac,0.10
65,0,-0.15,j,0,1,0.53,1.00,giamac,0.10
66,180,0.15,f,1,1,0.48,1.00,giamac,0.10
67,0,-0.15,f,1,0,0.38,1.00,giamac,0.10
68,180,0.15,f,1,1,0.48,1.00,giamac,0.10
69,180,0.15,f,1,1,0.53,1.00,giamac,0.10
70,0,-0.15,j,0,1,0.47,1.00,giamac,0.10
71,0,-0.15,f,1,0,0.62,1.00,giamac,0.10
72,0,-0.15,j,0,1,0.61,1.00,giamac,0.10
73,180,0.15,f,1,1,0.57,1.00,giamac,0.10
74,0,-0.15,j,0,1,0.58,1.00,giamac,0.10
75,180,0.15,f,1,1,0.63,1.00,giamac,0.10
76,0,-0.15,j,0,1,0.53,1.00,giamac,0.10
77,180,0.15,f,1,1,0.55,1.00,giamac,0.10
78,0,-0.15,j,0,1,0.72,1.00,giamac,0.10
79,180,0.15,f,1,1,0.55,1.00,giamac,0.10
80,0,-0.15,j,0,1,0.53,1.00,giamac,0.10
81,180,0.15,f,1,1,0.53,1.00,giamac,0.10
82,180,0.15,NA,2,0,999.00,1.00,giamac,0.10
83,180,0.15,f,1,1,0.60,1.00,giamac,0.10
84,180,0.15,f,1,1,0.62,1.00,giamac,0.10
85,0,-0.15,j,0,1,0.55,1.00,giamac,0.10
86,180,0.15,f,1,1,0.62,1.00,giamac,0.10
87,180,0.15,f,1,1,0.52,1.00,giamac,0.10
88,0,-0.15,f,1,0,0.57,1.00,giamac,0.10
89,180,0.15,f,1,1,1.05,1.00,giamac,0.10
